statistics_file,statistics_set,feature,feature_id,1_ulysses_james_joyce,2_swann_s_way_proust,3_great_gatsby_fitzgerald,4_catcher_in_rye_salinger,5_one_hundred_years_solitude_marquez,6_nineteen_eighty_four_orwell,7_moby_dick_melville,8_don_quixote_cervantez,9_sound_fury_faulkner,10_anna_karenina_tolstoy,11_crime_punishment_dostoyevski,12_pride_prejudice_jane_austin,13_lolita_nabokov,14_war_peace_tolstoy,15_wuthering_heights_bronte,16_to_kill_a_mockingbird_lee,17_lord_of_rings_tolkien,18_brothers_karamazov_dostoyevski,19_trial_kafka,20_adventures_of_huckleberry_finn_twain,21_madame_bovary_flaubert,22_the_stranger_camus,23_odyssey_homer,24_grapes_of_wrath_steinbeck,25_divine_comedy_dante,26_the_magic_mountain_thomas_mann,27_to_the_lighthouse_woolf,28_jane_eyre_bronte,29_middlemarch_george_eliot,30_heart_of_darkness_conrad,31_alice_s_adventures_in_wonderland_carroll,32_mrs_dalloway_woolf,33_catch_22_heller,34_master_margarita_bulgakov,35_invisible_man_ralph_ellison,36_the_iliad_homer,37_les_miserables_hugo,38_great_expectations_dickens,39_the_red_and_the_black_stendhal,40_frankenstein_mary_shelley,41_on_the_road_kerouac,42_the_little_prince_exupery,43_absalom_absalom_faulkner,44_one_thousand_and_one_nights,45_journey_to_and_of_night_celine,46_lord_of_flies_golding,47_brave_new_world_huxley,48_david_copperfield_dickens,49_the_old_man_and_the_sea_hemingway,50_beloved_tony_morrison,51_gone_with_the_wind_mitchell,52_animal_farm_orwell,53_life_opinions_tristram_shandy_sterne,54_the_idiot_dostoyevsky,55_dracula_bram_stoker,56_under_volcano_lowry,57_the_leopard_lampedusa,58_the_sun_also_rises_hemingway,59_the_golden_notebook_lessing,60_things_fall_apart_achebe,61_gulliver_s_travels_swift,62_rebecca_maurier,63_aeneid_virgil,64_robinson_crusoe_defoe,65_midnight_s_children_rushdie,66_scarlet_letter_hawthorne,67_their_eyes_were_watching_god_hurston,68_a_farewell_to_arms_hemingway,69_metamorphosis_kafka,70_the_castle_kafka,71_a_passage_to_india_forster,72_the_plague_camus,73_portrait_of_a_lady_james,74_candide_voltaire,75_slaughterhouse_five_vonnegut,76_as_i_lay_dying_faulkner,77_portrait_of_the_arist_joyce,78_all_quiet_on_the_western_front_remarque,79_count_of_monte_cristo_dumas,80_man_without_qualities_musil,81_little_women_alcott,82_the_good_soldier_ford,83_picture_of_dorian_gray_joyce,84_emma_austen,85_buddenbrooks_mann,86_for_whom_the_bell_tolls_hemingway,87_demons_dostoyevsky,88_age_of_innocence_wharton,89_orlando_woolf,90_dune_herbert,91_native_son_wright,92_unbearable_lightness_of_being_kundera,93_dead_souls_gogol,94_doctor_zhivago_pasternak,95_bell_jar_plath,96_charlotte_s_web_white,97_in_cold_blood_capote,98_treasure_island_stevenson,99_vanity_fair_thackeray,100_the_heart_is_a_lonely_hunter_mcmullers
stats_1.csv,1,chunk_count_used,stats_1__chunk_count_used,2663.0,1978.0,497.0,771.0,1456.0,1046.0,2122.0,4021.0,996.0,3568.0,2073.0,1227.0,1057.0,5697.0,1187.0,1036.0,1304.0,3575.0,861.0,1149.0,1169.0,366.0,635.0,1658.0,1000.0,1751.0,595.0,1867.0,3214.0,390.0,270.0,645.0,1813.0,1397.0,1813.0,1440.0,5601.0,1872.0,1898.0,749.0,1173.0,169.0,1334.0,2466.0,1791.0,616.0,658.0,3601.0,269.0,1002.0,4316.0,299.0,1791.0,2467.0,1615.0,1417.0,785.0,701.0,2476.0,516.0,1030.0,616.0,1027.0,1209.0,2163.0,826.0,624.0,914.0,224.0,1262.0,1026.0,875.0,2322.0,325.0,503.0,585.0,848.0,640.0,4658.0,2942.0,1903.0,766.0,801.0,1597.0,2352.0,1779.0,2682.0,1043.0,790.0,1916.0,932.0,875.0,1392.0,1430.0,718.0,329.0,1265.0,696.0,3081.0,1237.0
stats_1.csv,1,chunk_size_words,stats_1__chunk_size_words,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
stats_1.csv,1,past_per100_avg,stats_1__past_per100_avg,6.8425,9.0243,11.2717,9.574,11.733,11.1284,6.8279,7.9109,9.5891,10.4382,9.5564,9.3514,9.38,10.7135,9.6045,11.8102,10.8926,9.2026,10.0465,8.8401,10.8086,12.6308,8.7732,10.2978,5.1392,9.2352,12.039,10.119,9.114,10.8667,10.4259,11.6978,9.9145,11.0699,10.0048,4.6445,9.9866,10.9111,9.6497,10.9113,10.6846,8.0697,10.0607,9.7196,9.0358,12.4453,10.2977,9.9447,10.5071,11.2318,10.3532,13.017,6.6758,9.3924,8.7121,9.8033,9.6373,11.5929,9.4576,12.9031,8.9039,10.6465,4.2832,10.6112,8.698,8.694,9.4325,10.9207,11.4622,9.2893,10.7029,10.7977,10.4201,10.4447,12.9457,6.6274,9.9446,3.7531,9.8465,8.8451,9.2754,10.0501,9.8614,8.5224,9.4485,9.8232,8.71,11.0614,10.4022,10.6165,11.456,10.858,8.3678,10.186,10.9805,10.4376,11.3478,10.2922,9.3253,11.698
stats_1.csv,1,past_per100_max,stats_1__past_per100_max,21.0,26.0,21.0,20.0,24.0,25.0,21.0,26.0,22.0,27.0,23.0,23.0,20.0,27.0,21.0,24.0,24.0,23.0,22.0,21.0,21.0,21.0,20.0,25.0,15.0,22.0,24.0,25.0,22.0,20.0,17.0,26.0,25.0,24.0,25.0,14.0,30.0,23.0,21.0,25.0,21.0,17.0,23.0,23.0,21.0,22.0,24.0,25.0,21.0,23.0,23.0,24.0,19.0,23.0,22.0,22.0,19.0,22.0,27.0,25.0,22.0,24.0,16.0,23.0,24.0,21.0,20.0,26.0,25.0,25.0,22.0,22.0,28.0,23.0,25.0,22.0,23.0,21.0,25.0,25.0,22.0,22.0,25.0,22.0,22.0,26.0,26.0,25.0,25.0,23.0,25.0,21.0,20.0,24.0,22.0,20.0,23.0,24.0,26.0,25.0
stats_1.csv,1,past_per100_min,stats_1__past_per100_min,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7857,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stats_1.csv,1,past_per100_sd,stats_1__past_per100_sd,3.7435,3.5494,3.4196,3.7066,2.9768,4.4892,3.818,3.9671,4.351,3.752,4.3403,4.0389,3.7883,3.9753,3.7844,3.8769,3.879,4.5064,4.2,4.1101,3.3845,3.4569,4.1243,4.0218,2.5302,4.1252,3.7358,4.4525,3.6837,3.7055,3.0307,3.9429,3.8718,3.5537,4.1586,2.5567,4.7531,3.5555,3.9461,4.3579,3.4533,3.3932,4.1069,4.358,3.8569,3.1937,3.7937,3.8381,3.6452,4.1806,3.9365,4.3401,3.5208,4.1727,4.3212,3.7192,3.398,3.7259,4.7255,3.9515,3.786,3.9549,2.5138,3.3269,3.9387,3.3438,3.9825,4.6664,3.9036,4.6004,4.2469,3.8921,4.4367,3.7301,3.923,4.3092,3.87,3.4733,4.0957,4.486,3.9065,3.7392,4.9096,4.2348,3.9325,4.0505,4.1824,3.3681,4.1292,3.4984,4.4845,3.8096,3.7397,4.5843,2.9841,3.7429,4.1122,3.5764,3.6517,4.0105
stats_1.csv,1,perfect_per100_avg,stats_1__perfect_per100_avg,0.2629,1.2927,0.662,0.1401,1.1971,1.2258,0.4458,0.7493,0.2882,1.0255,0.8442,0.982,0.9007,0.973,0.6066,0.4875,0.816,0.9236,1.0465,0.2185,0.6921,0.7104,1.0173,0.1417,0.268,0.8435,1.0832,0.8433,1.1459,0.9282,0.537,1.107,0.6001,0.8721,0.6834,0.1229,1.1234,1.0361,1.1428,1.0521,0.4297,0.8212,1.1139,0.6407,0.8922,0.5844,0.6033,0.905,0.7193,0.5409,1.0315,1.6187,0.6817,1.0237,0.8526,0.9019,0.9299,0.4536,0.9575,1.2933,0.5951,1.0466,0.1568,0.8288,0.8215,0.9818,0.476,0.4991,1.1786,0.9049,1.1014,1.0217,1.3112,0.9048,1.008,0.5145,0.9623,0.7,1.0902,0.9596,0.6006,1.1501,1.2247,0.9956,0.7924,0.8089,0.871,1.3969,0.8481,0.7761,0.7758,1.064,1.0208,1.1196,0.7479,0.4742,0.9146,0.8707,0.8325,0.8456
stats_1.csv,1,perfect_per100_max,stats_1__perfect_per100_max,4.0,8.0,4.0,4.0,9.0,8.0,5.0,8.0,3.0,9.0,10.0,6.0,7.0,9.0,5.0,5.0,6.0,7.0,5.0,4.0,7.0,5.0,7.0,5.0,3.0,7.0,8.0,7.0,6.0,5.0,4.0,7.0,6.0,9.0,8.0,3.0,10.0,7.0,6.0,6.0,4.0,6.0,7.0,5.0,7.0,5.0,5.0,9.0,5.0,4.0,8.0,8.0,6.0,7.0,7.0,6.0,5.0,6.0,8.0,8.0,4.0,7.0,3.0,7.0,7.0,6.0,5.0,6.0,8.0,7.0,6.0,6.0,10.0,5.0,6.0,4.0,8.0,6.0,7.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,10.0,6.0,7.0,7.0,6.0,3.0,6.0,6.0,6.0,6.0
stats_1.csv,1,perfect_per100_min,stats_1__perfect_per100_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_1.csv,1,perfect_per100_sd,stats_1__perfect_per100_sd,0.596,1.255,0.9162,0.4305,1.2192,1.3845,0.7343,0.9416,0.5845,1.1949,1.0571,1.1002,1.0964,1.1234,0.7913,0.7853,1.0045,1.1655,1.0724,0.4938,0.975,0.9311,1.0772,0.4735,0.5331,1.0844,1.2563,1.0594,1.1854,1.0789,0.758,1.2732,0.9303,1.1675,1.0232,0.3663,1.3679,1.1801,1.1348,1.1256,0.6943,1.1467,1.1911,0.8679,1.0224,0.8214,0.9088,1.099,0.9699,0.8182,1.2037,1.436,0.9226,1.1858,1.0636,1.0463,1.0785,0.801,1.1079,1.3358,0.8162,1.1865,0.423,0.9961,0.9917,1.0649,0.8675,0.882,1.2299,1.1311,1.0902,1.0672,1.4374,1.0814,1.1173,0.7846,1.3392,0.9155,1.1598,1.1771,0.8241,1.3343,1.4184,1.1914,1.0494,1.1427,1.0333,1.3026,1.0942,1.0013,1.3144,1.1625,1.1511,1.1922,0.9495,0.7061,1.1172,1.0216,1.0342,1.032
